,Buy,Currency,Date,Mean,Sell,date
76,69.8256,US DOLLAR,22-01-2007,69.8978,69.9700,2007-01-22
77,70.0011,US DOLLAR,23-01-2007,70.0733,70.1456,2007-01-23
78,70.0711,US DOLLAR,24-01-2007,70.1433,70.2156,2007-01-24
79,70.2300,US DOLLAR,25-01-2007,70.2994,70.3689,2007-01-25
80,70.4411,US DOLLAR,26-01-2007,70.5056,70.5700,2007-01-26
81,70.5533,US DOLLAR,29-01-2007,70.6256,70.6978,2007-01-29
82,70.4956,US DOLLAR,30-01-2007,70.5567,70.6178,2007-01-30
83,70.4756,US DOLLAR,31-01-2007,70.5367,70.5978,2007-01-31
84,70.3167,US DOLLAR,01-02-2007,70.3722,70.4278,2007-02-01
85,70.2000,US DOLLAR,02-02-2007,70.2722,70.3444,2007-02-02
86,70.1411,US DOLLAR,05-02-2007,70.2078,70.2744,2007-02-05
87,69.9544,US DOLLAR,06-02-2007,70.0211,70.0878,2007-02-06
88,69.9033,US DOLLAR,07-02-2007,69.9700,70.0367,2007-02-07
89,69.6667,US DOLLAR,08-02-2007,69.7389,69.8111,2007-02-08
90,69.6533,US DOLLAR,09-02-2007,69.7256,69.7978,2007-02-09
91,69.3789,US DOLLAR,12-02-2007,69.4511,69.5233,2007-02-12
92,69.0644,US DOLLAR,13-02-2007,69.1256,69.1867,2007-02-13
93,68.8033,US DOLLAR,14-02-2007,68.8644,68.9256,2007-02-14
94,68.9311,US DOLLAR,15-02-2007,68.9922,69.0533,2007-02-15
95,68.9033,US DOLLAR,16-02-2007,68.9811,69.0589,2007-02-16
96,69.0700,US DOLLAR,19-02-2007,69.1367,69.2033,2007-02-19
97,69.1222,US DOLLAR,20-02-2007,69.1972,69.2722,2007-02-20
98,69.2333,US DOLLAR,21-02-2007,69.2972,69.3611,2007-02-21
99,69.2489,US DOLLAR,22-02-2007,69.3211,69.3933,2007-02-22
100,69.5944,US DOLLAR,23-02-2007,69.6722,69.7500,2007-02-23
101,70.0256,US DOLLAR,26-02-2007,70.0978,70.1700,2007-02-26
102,70.0633,US DOLLAR,27-02-2007,70.1411,70.2189,2007-02-27
103,69.6500,US DOLLAR,28-02-2007,69.7333,69.8167,2007-02-28
