,Diesel,Kerosene,Regular,Super,Town,date,super_normed_price
0,79.55,48.93,108.03,91.31,Bomet,2016-01-15,0.70006900253
1,79.14,48.32,107.58,90.9,Bondo,2016-01-15,0.696925553937
2,79.55,48.8,108.01,91.3,Bungoma,2016-01-15,0.699992333052
3,80.14,49.32,108.48,91.9,Busia,2016-01-15,0.704592501725
4,78.44,47.87,107.34,90.38,Chuka,2016-01-15,0.692938741087
5,78.78,48.04,107.31,90.54,Eldoret,2016-01-15,0.694165452733
6,77.92,47.35,106.87,89.86,Embu,2016-01-15,0.688951928237
7,81.27,50.7,109.91,93.21,Garisa,2016-01-15,0.714636203327
8,77.64,47.01,106.29,89.39,Gilgil,2016-01-15,0.685348462777
9,80.52,49.7,108.82,92.27,Homabay,2016-01-15,0.707429272407
10,80.93,50.12,109.2,92.69,Isebania,2016-01-15,0.710649390478
11,79.94,49.37,108.7,91.88,Isiolo,2016-01-15,0.704439162769
12,78.9,48.27,107.44,90.66,Kabarnet,2016-01-15,0.695085486468
13,77.13,46.56,106.16,89.07,Kajiado,2016-01-15,0.682895039485
14,78.92,48.1,107.38,90.67,Kakamega,2016-01-15,0.695162155946
15,79.52,48.77,107.99,91.27,Kapenguria,2016-01-15,0.699762324619
16,78.8,48.05,107.33,90.55,Kapsabet,2016-01-15,0.694242122211
17,79.33,48.52,107.75,91.09,Kericho,2016-01-15,0.698382274017
18,80.14,49.32,108.48,91.9,Keroka,2016-01-15,0.704592501725
19,77.94,47.37,106.89,89.88,Kerugoya,2016-01-15,0.689105267193
20,78.4,47.83,107.3,90.34,Kiganjo,2016-01-15,0.692632063176
21,73.64,43.65,103.12,85.55,Kilifi,2016-01-15,0.655907383271
22,79.79,48.98,108.17,91.55,Kisii,2016-01-15,0.701909069999
23,78.85,48.03,107.3,90.6,Kisumu,2016-01-15,0.694625469601
24,79.11,48.37,107.62,90.87,Kitale,2016-01-15,0.696695545503
25,78.44,47.87,107.34,90.38,Kitui,2016-01-15,0.692938741087
26,73.76,43.77,103.26,85.67,Kwale,2016-01-15,0.656827417005
27,77.39,47.4,106.52,89.3,Lamu,2016-01-15,0.684658437476
28,84.15,53.58,112.51,96.09,Liboi,2016-01-15,0.736717012957
29,73.76,43.77,103.25,85.67,Likoni Mainland,2016-01-15,0.656827417005
30,86.66,55.91,114.46,98.41,Lokichogio,2016-01-15,0.754504331826
31,77.79,47.16,106.43,89.55,Londiani,2016-01-15,0.686575174423
32,74.66,44.67,104.08,86.57,Lungalunga,2016-01-15,0.663727670015
33,76.84,46.27,105.89,88.78,Machakos,2016-01-15,0.680671624626
34,77.29,46.72,106.3,89.22,Makuyu,2016-01-15,0.684045081653
35,80,49.26,108.43,91.76,Malaba,2016-01-15,0.703519129035
36,74.33,44.34,103.75,86.24,Malindi,2016-01-15,0.661197577244
37,90.51,59.94,118.28,102.45,Mandela,2016-01-15,0.785478800889
38,81.79,51.16,110.06,93.55,Maral,2016-01-15,0.717242965575
39,78.33,47.71,106.92,90.09,Marigat,2016-01-15,0.690715326229
40,83.61,53.04,112.02,95.54,Marsabit,2016-01-15,0.732500191674
41,79.94,49.37,108.7,91.88,Maua,2016-01-15,0.704439162769
42,79.38,48.81,108.2,91.32,Meru,2016-01-15,0.700145672008
43,80.75,49.93,109.04,92.51,Migori,2016-01-15,0.709269339876
44,77.69,47.07,106.34,89.45,Mogotio,2016-01-15,0.685808479644
45,77.79,47.16,106.43,89.55,Molo,2016-01-15,0.686575174423
46,73.43,43.44,102.92,85.34,Mombasa,2016-01-15,0.654297324235
47,79.36,48.79,108.17,91.29,Mtito Andei,2016-01-15,0.699915663574
48,77.29,46.72,106.3,89.22,Muranga,2016-01-15,0.684045081653
49,78.47,47.9,107.37,90.4,Mwingi,2016-01-15,0.693092080043
50,76.7,46.13,105.76,88.64,Nairobi,2016-01-15,0.679598251936
51,77.98,47.36,106.61,89.74,Naivasha,2016-01-15,0.688031894503
52,77.64,47.01,106.28,89.39,Nakuru,2016-01-15,0.685348462777
53,78.36,47.78,107.26,90.29,Namanga,2016-01-15,0.692248715786
54,78.86,48.29,107.72,90.79,Nanyuki,2016-01-15,0.69608218968
55,78.16,47.59,107.09,90.1,Narok,2016-01-15,0.690791995707
56,79.11,48.54,107.94,91.04,Nkubu,2016-01-15,0.697998926627
57,77.87,47.25,106.51,89.63,Nyahururu,2016-01-15,0.687188530246
58,79.46,48.64,107.87,91.22,Nyamira,2016-01-15,0.699378977229
59,78.26,47.69,107.18,90.2,Nyeri,2016-01-15,0.691558690485
60,78.85,48.03,107.31,90.61,Oyugis,2016-01-15,0.694702139078
61,77.38,46.81,106.38,89.32,Sagana,2016-01-15,0.684811776432
62,79.2,48.38,107.63,90.95,Siaya,2016-01-15,0.697308901326
63,78.85,48.03,107.31,90.61,Sondu,2016-01-15,0.694702139078
64,80.03,49.21,108.38,91.79,Sotik,2016-01-15,0.703749137468
65,76.58,46.59,105.79,88.49,Taveta,2016-01-15,0.678448209768
66,76.84,46.27,105.89,88.78,Thika,2016-01-15,0.680671624626
67,75.03,45.03,104.38,86.94,Voi,2016-01-15,0.666564440696
68,84.95,54.38,113.24,96.89,Wajir,2016-01-15,0.742850571188
69,78.98,48.23,107.5,90.73,Webuye,2016-01-15,0.695622172813
70,81.35,56.04,108.03,92.72,Bomet,2015-12-15,0.710879398911
71,80.94,55.44,107.58,92.31,Bondo,2015-12-15,0.707735950318
72,81.34,55.92,108.01,92.71,Bungoma,2015-12-15,0.710802729433
73,81.94,56.44,108.48,93.31,Busia,2015-12-15,0.715402898106
74,80.24,55,107.34,91.8,Chuka,2015-12-15,0.703825806946
75,80.58,55.15,107.31,91.95,Eldoret,2015-12-15,0.704975849114
76,79.73,54.49,106.87,91.28,Embu,2015-12-15,0.699838994096
77,83.08,57.84,109.91,94.63,Garisa,2015-12-15,0.725523269187
78,79.44,54.12,106.29,90.8,Gilgil,2015-12-15,0.696158859158
79,82.31,56.81,108.82,93.68,Homabay,2015-12-15,0.718239668788
80,82.73,57.23,109.2,94.1,Isebania,2015-12-15,0.721459786859
81,81.74,56.5,108.7,93.3,Isiolo,2015-12-15,0.715326228628
82,80.7,55.39,107.44,92.07,Kabarnet,2015-12-15,0.705895882849
83,78.94,53.7,106.16,90.49,Kajiado,2015-12-15,0.693782105344
84,80.72,55.21,107.38,92.09,Kakamega,2015-12-15,0.706049221805
85,81.32,55.89,107.99,92.69,Kapenguria,2015-12-15,0.710649390478
86,80.59,55.17,107.33,91.96,Kapsabet,2015-12-15,0.705052518592
87,81.13,55.63,107.75,92.5,Kericho,2015-12-15,0.709192670398
88,81.94,56.44,108.48,93.31,Keroka,2015-12-15,0.715402898106
89,79.74,54.5,106.89,91.3,Kerugoya,2015-12-15,0.699992333052
90,80.2,54.96,107.3,91.75,Kiganjo,2015-12-15,0.703442459557
91,75.44,50.76,103.12,86.96,Kilifi,2015-12-15,0.666717779652
92,81.59,56.09,108.17,92.96,Kisii,2015-12-15,0.71271946638
93,80.65,55.14,107.3,92.02,Kisumu,2015-12-15,0.70551253546
94,80.91,55.48,107.62,92.28,Kitale,2015-12-15,0.707505941885
95,80.24,55,107.34,91.8,Kitui,2015-12-15,0.703825806946
96,75.56,50.88,103.26,87.08,Kwale,2015-12-15,0.667637813386
97,79.19,54.51,106.52,90.71,Lamu,2015-12-15,0.695468833857
98,85.95,60.71,112.51,97.5,Liboi,2015-12-15,0.747527409338
99,75.56,50.88,103.25,87.08,Likoni Mainland,2015-12-15,0.667637813386
100,88.46,63.03,114.46,99.83,Lokichogio,2015-12-15,0.765391397685
101,79.59,54.28,106.43,90.96,Londiani,2015-12-15,0.697385570804
102,76.46,51.79,104.08,87.99,Lungalunga,2015-12-15,0.674614735874
103,78.65,53.41,105.89,90.2,Machakos,2015-12-15,0.691558690485
104,79.09,53.85,106.3,90.64,Makuyu,2015-12-15,0.694932147512
105,81.8,56.37,108.43,93.17,Malaba,2015-12-15,0.714329525416
106,76.13,51.46,103.75,87.66,Malindi,2015-12-15,0.672084643104
107,92.31,67.08,118.28,103.87,Mandela,2015-12-15,0.796365866748
108,83.59,58.28,110.06,94.96,Maral,2015-12-15,0.728053361957
109,80.13,54.82,106.92,91.5,Marigat,2015-12-15,0.70152572261
110,85.41,60.17,112.02,96.96,Marsabit,2015-12-15,0.743387257533
111,81.74,56.5,108.7,93.3,Maua,2015-12-15,0.715326228628
112,81.19,55.95,108.2,92.74,Meru,2015-12-15,0.711032737867
113,82.55,57.05,109.04,93.92,Migori,2015-12-15,0.720079736257
114,79.49,54.18,106.34,90.86,Mogotio,2015-12-15,0.696618876025
115,79.59,54.28,106.43,90.96,Molo,2015-12-15,0.697385570804
116,75.23,50.55,102.92,86.75,Mombasa,2015-12-15,0.665107720616
117,81.16,55.92,108.17,92.71,Mtito Andei,2015-12-15,0.710802729433
118,79.09,53.85,106.3,90.64,Muranga,2015-12-15,0.694932147512
119,80.27,55.03,107.37,91.82,Mwingi,2015-12-15,0.703979145902
120,78.51,53.27,105.76,90.06,Nairobi,2015-12-15,0.690485317795
121,79.78,54.47,106.61,91.15,Naivasha,2015-12-15,0.698842290884
122,79.43,54.12,106.28,90.8,Nakuru,2015-12-15,0.696158859158
123,80.16,54.92,107.26,91.71,Namanga,2015-12-15,0.703135781645
124,80.66,55.42,107.72,92.21,Nanyuki,2015-12-15,0.706969255539
125,79.97,54.73,107.09,91.52,Narok,2015-12-15,0.701679061566
126,80.91,55.67,107.94,92.46,Nkubu,2015-12-15,0.708885992486
127,79.67,54.36,106.51,91.04,Nyahururu,2015-12-15,0.697998926627
128,81.26,55.76,107.87,92.63,Nyamira,2015-12-15,0.71018937361
129,80.06,54.82,107.18,91.62,Nyeri,2015-12-15,0.702445756344
130,80.65,55.15,107.31,92.02,Oyugis,2015-12-15,0.70551253546
131,79.19,53.95,106.38,90.74,Sagana,2015-12-15,0.695698842291
132,81,55.49,107.63,92.36,Siaya,2015-12-15,0.708119297708
133,80.65,55.15,107.31,92.02,Sondu,2015-12-15,0.70551253546
134,81.83,56.33,108.38,93.2,Sotik,2015-12-15,0.71455953385
135,78.38,53.71,105.79,89.91,Taveta,2015-12-15,0.689335275627
136,78.65,53.41,105.89,90.2,Thika,2015-12-15,0.691558690485
137,76.83,52.15,104.38,88.35,Voi,2015-12-15,0.677374837077
138,86.76,61.52,113.24,98.31,Wajir,2015-12-15,0.753737637047
139,80.78,55.35,107.5,92.14,Webuye,2015-12-15,0.706432569194
140,82.5,57.58,108.03,93.12,Bomet,2015-11-15,0.713946178027
141,82.09,56.98,107.58,92.71,Bondo,2015-11-15,0.710802729433
142,82.49,57.46,108.01,93.12,Bungoma,2015-11-15,0.713946178027
143,83.09,57.98,108.48,93.71,Busia,2015-11-15,0.718469677221
144,81.39,56.55,107.34,92.2,Chuka,2015-11-15,0.706892586061
145,81.73,56.69,107.31,92.35,Eldoret,2015-11-15,0.70804262823
146,80.88,56.04,106.87,91.69,Embu,2015-11-15,0.70298244269
147,84.23,59.38,109.91,95.03,Garisa,2015-11-15,0.728590048302
148,80.58,55.67,106.29,91.21,Gilgil,2015-11-15,0.699302307751
149,83.46,58.35,108.82,94.09,Homabay,2015-11-15,0.721383117381
150,83.88,58.77,109.2,94.5,Isebania,2015-11-15,0.724526565974
151,82.89,58.05,108.7,93.7,Isiolo,2015-11-15,0.718393007744
152,81.85,56.93,107.44,92.47,Kabarnet,2015-11-15,0.708962661964
153,80.09,55.24,106.16,90.89,Kajiado,2015-11-15,0.696848884459
154,81.86,56.76,107.38,92.49,Kakamega,2015-11-15,0.70911600092
155,82.46,57.43,107.99,93.09,Kapenguria,2015-11-15,0.713716169593
156,81.74,56.71,107.33,92.37,Kapsabet,2015-11-15,0.708195967185
157,82.28,57.17,107.75,92.91,Kericho,2015-11-15,0.712336118991
158,83.09,57.98,108.48,93.71,Keroka,2015-11-15,0.718469677221
159,80.89,56.05,106.89,91.7,Kerugoya,2015-11-15,0.703059112167
160,81.35,56.51,107.3,92.16,Kiganjo,2015-11-15,0.70658590815
161,76.59,52.31,103.12,87.37,Kilifi,2015-11-15,0.669861228245
162,82.74,57.63,108.17,93.36,Kisii,2015-11-15,0.715786245496
163,81.79,56.69,107.3,92.42,Kisumu,2015-11-15,0.708579314575
164,82.06,57.03,107.62,92.69,Kitale,2015-11-15,0.710649390478
165,81.39,56.55,107.34,92.2,Kitui,2015-11-15,0.706892586061
166,76.71,52.43,103.26,87.49,Kwale,2015-11-15,0.67078126198
167,80.34,56.06,106.52,91.12,Lamu,2015-11-15,0.69861228245
168,87.1,62.26,112.51,97.91,Liboi,2015-11-15,0.750670857931
169,76.71,52.43,103.25,87.49,Likoni Mainland,2015-11-15,0.67078126198
170,89.6,64.57,114.46,100.23,Lokichogio,2015-11-15,0.7684581768
171,80.74,55.82,106.43,91.36,Londiani,2015-11-15,0.700452349919
172,77.61,53.33,104.08,88.39,Lungalunga,2015-11-15,0.677681514989
173,79.8,54.95,105.89,90.6,Machakos,2015-11-15,0.694625469601
174,80.24,55.4,106.3,91.05,Makuyu,2015-11-15,0.698075596105
175,82.95,57.92,108.43,93.57,Malaba,2015-11-15,0.717396304531
176,77.28,53,103.75,88.06,Malindi,2015-11-15,0.675151422219
177,93.47,68.62,118.28,104.27,Mandela,2015-11-15,0.799432645864
178,84.74,59.82,110.06,95.36,Maral,2015-11-15,0.731120141072
179,81.28,56.36,106.92,91.9,Marigat,2015-11-15,0.704592501725
180,86.56,61.72,112.02,97.37,Marsabit,2015-11-15,0.746530706126
181,82.89,58.05,108.7,93.7,Maua,2015-11-15,0.718393007744
182,82.34,57.49,108.2,93.15,Meru,2015-11-15,0.71417618646
183,83.7,58.59,109.04,94.32,Migori,2015-11-15,0.723146515372
184,80.64,55.72,106.34,91.26,Mogotio,2015-11-15,0.699685655141
185,80.74,55.82,106.43,91.36,Molo,2015-11-15,0.700452349919
186,76.38,52.1,102.92,87.16,Mombasa,2015-11-15,0.66825116921
187,82.31,57.47,108.17,93.12,Mtito Andei,2015-11-15,0.713946178027
188,80.24,55.4,106.3,91.05,Muranga,2015-11-15,0.698075596105
189,81.42,56.58,107.37,92.23,Mwingi,2015-11-15,0.707122594495
190,79.66,54.81,105.76,90.46,Nairobi,2015-11-15,0.69355209691
191,80.93,56.01,106.61,91.55,Naivasha,2015-11-15,0.701909069999
192,80.58,55.66,106.28,91.21,Nakuru,2015-11-15,0.699302307751
193,81.31,56.47,107.26,92.12,Namanga,2015-11-15,0.706279230238
194,81.81,56.97,107.72,92.62,Nanyuki,2015-11-15,0.710112704132
195,81.12,56.27,107.09,91.92,Narok,2015-11-15,0.704745840681
196,82.06,57.22,107.94,92.87,Nkubu,2015-11-15,0.71202944108
197,80.82,55.9,106.51,91.44,Nyahururu,2015-11-15,0.701065705743
198,82.41,57.3,107.87,93.03,Nyamira,2015-11-15,0.713256152726
199,81.21,56.37,107.18,92.02,Nyeri,2015-11-15,0.70551253546
200,81.8,56.69,107.31,92.42,Oyugis,2015-11-15,0.708579314575
201,80.34,55.49,106.38,91.14,Sagana,2015-11-15,0.698765621406
202,82.14,57.03,107.63,92.77,Siaya,2015-11-15,0.711262746301
203,81.8,56.69,107.31,92.42,Sondu,2015-11-15,0.708579314575
204,82.98,57.87,108.38,93.6,Sotik,2015-11-15,0.717626312965
205,79.53,55.25,105.79,90.31,Taveta,2015-11-15,0.692402054742
206,79.8,54.95,105.89,90.6,Thika,2015-11-15,0.694625469601
207,77.98,53.69,104.38,88.76,Voi,2015-11-15,0.68051828567
208,87.91,63.06,113.24,98.72,Wajir,2015-11-15,0.75688108564
209,81.92,56.89,107.5,92.55,Webuye,2015-11-15,0.709576017787
210,85.27,58.8,108.03,95.94,Bomet,2015-10-15,0.735566970789
211,84.86,58.2,107.58,95.53,Bondo,2015-10-15,0.732423522196
212,85.26,58.68,108.01,95.93,Bungoma,2015-10-15,0.735490301311
